Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | x= 1046.1900 | Y=  169.1300
particle=  1 | x= 1035.3600 | Y=  185.3600
particle=  2 | x= 1019.1300 | Y=  196.1900
particle=  3 | x= 1000.0000 | Y=  200.0000
particle=  4 | x=  980.8700 | Y=  196.1900
particle=  5 | x=  964.6400 | Y=  185.3600
particle=  6 | x=  953.8100 | Y=  169.1300
particle=  7 | x=  950.0000 | Y=  150.0000
particle=  8 | x=  953.8100 | Y=  130.8700
particle=  9 | x=  964.6400 | Y=  114.6400
particle= 10 | x=  980.8700 | Y=  103.8100
particle= 11 | x= 1000.0000 | Y=  100.0000
particle= 12 | x= 1019.1300 | Y=  103.8100
particle= 13 | x= 1035.3600 | Y=  114.6400
particle= 14 | x= 1046.1900 | Y=  130.8700
particle= 15 | x= 1050.0000 | Y=  150.0000
STEP   0
particle=  0 | newX= 1066.6191 | newY=  185.7903
particle=  1 | newX= 1051.3270 | newY=  208.7438
particle=  2 | newX= 1028.4323 | newY=  224.0772
particle=  3 | newX= 1001.4439 | newY=  229.4727
particle=  4 | newX=  974.4617 | newY=  224.0986
particle=  5 | newX=  951.5833 | newY=  208.7793
particle=  6 | newX=  936.3112 | newY=  185.8283
particle=  7 | newX=  930.9508 | newY=  158.7613
particle=  8 | newX=  936.3251 | newY=  131.6910
particle=  9 | newX=  951.6077 | newY=  108.7310
particle= 10 | newX=  974.4913 | newY=   93.3997
particle= 11 | newX= 1001.4733 | newY=   88.0135
particle= 12 | newX= 1028.4574 | newY=   93.3988
particle= 13 | newX= 1051.3451 | newY=  108.7247
particle= 14 | newX= 1066.6285 | newY=  131.6737
particle= 15 | newX= 1071.9955 | newY=  158.7313
STEP   1
particle=  0 | newX= 1079.9613 | newY=  201.0331
particle=  1 | newX= 1061.3703 | newY=  227.5342
particle=  2 | newX= 1034.4657 | newY=  245.0862
particle=  3 | newX= 1003.1014 | newY=  251.3480
particle=  4 | newX=  971.6531 | newY=  245.4512
particle=  5 | newX=  944.5128 | newY=  228.1296
particle=  6 | newX=  925.6025 | newY=  201.6027
particle=  7 | newX=  917.8719 | newY=  169.4174
particle=  8 | newX=  922.9820 | newY=  136.1099
particle=  9 | newX=  940.8518 | newY=  106.8700
particle= 10 | newX=  969.1946 | newY=   86.8797
particle= 11 | newX= 1003.3383 | newY=   79.9999
particle= 12 | newX= 1037.1856 | newY=   87.4816
particle= 13 | newX= 1064.9189 | newY=  107.5722
particle= 14 | newX= 1082.3616 | newY=  136.4112
particle= 15 | newX= 1087.4409 | newY=  169.1844
STEP   2
particle=  0 | newX= 1090.4265 | newY=  215.6907
particle=  1 | newX= 1069.1610 | newY=  244.5729
particle=  2 | newX= 1039.2920 | newY=  263.5799
particle=  3 | newX= 1004.8144 | newY=  270.4563
particle=  4 | newX=  970.1711 | newY=  264.3379
particle=  5 | newX=  939.8205 | newY=  245.8502
particle=  6 | newX=  917.8491 | newY=  216.9954
particle=  7 | newX=  907.6275 | newY=  181.0544
particle=  8 | newX=  911.6631 | newY=  142.5066
particle=  9 | newX=  931.0774 | newY=  107.2265
particle= 10 | newX=  964.2950 | newY=   82.2936
particle= 11 | newX= 1005.5045 | newY=   73.8985
particle= 12 | newX= 1045.8320 | newY=   83.9125
particle= 13 | newX= 1077.3987 | newY=  108.9505
particle= 14 | newX= 1095.8670 | newY=  143.1012
